source,target
61499,12320
126219,12320
121308,12320
12320,24848
12320,87719
12320,83560
12320,90255
12320,112393
12320,73740
12320,15241
12320,34760
12320,10513
12320,40605
57198,104143
96975,104143
52822,104143
91280,104143
45695,104143
72235,104143
21113,104143
109981,104143
104143,16060
104143,111928
66933,93882
54579,93882
22103,93882
37343,93882
120318,93882
57633,93882
23816,93882
123109,93882
71880,93882
38998,93882
99883,93882
42188,93882
104809,93882
35362,93882
20948,93882
105330,93882
30002,93882
50,93882
46001,93882
49550,93882
93882,78674
93882,125868
93882,111434
93882,97427
93882,24089
93882,94793
93882,118988
93882,18087
93882,81759
93882,68328
93882,117988
93882,64338
93882,36913
93882,55055
93882,38746
93882,39721
93882,57907
93882,86382
93882,65183
93882,74795
93882,79488
93882,102124
93882,52040
93882,24659
93882,105138
93882,55825
93882,57590
94060,88895
116763,82721
125022,82721
21932,82721
6207,82721
82721,69417
82721,35370
82721,10457
82721,126334
82721,35931
82721,87036
82721,14288
82721,55609
82721,63728
82721,106889
82721,2746
18275,7822
111677,7822
10765,7822
43593,7822
86478,7822
67209,7822
105867,7822
37685,7822
7822,59662
7822,46116
7822,11468
7822,86510
7822,9500
11476,31554
32041,31554
31554,27055
105171,35722
98034,35722
22656,35722
35722,42992
35722,13894
35722,48338
35722,94048
56940,123900
69485,123900
89520,123900
68603,123900
89001,123900
116484,123900
29732,123900
25216,123900
47897,123900
30945,123900
93942,123900
61973,123900
123900,47185
123900,46535
123900,51634
123900,103141
123900,72402
123900,38879
123900,13793
98151,84678
84678,64382
63511,94325
52375,94325
44110,94325
108211,94325
29252,94325
63144,94325
58602,94325
119148,94325
96598,94325
7463,94325
127594,94325
81475,94325
81690,94325
116068,94325
75207,94325
5213,94325
64956,94325
118471,94325
15892,94325
56043,114281
58717,114281
70042,114281
114281,72195
114281,15889
114281,43869
114281,77533
114281,90060
114281,55665
114281,97715
114281,126719
114281,47306
114281,100413
114281,102087
114281,101775
114281,111697
114281,95748
114281,77362
114281,33637
114281,61464
114281,18468
114281,109369
114281,86570
114281,90464
114281,121017
114281,50335
36365,14303
36365,70069
36365,103564
36365,608
36365,84576
36365,76889
36365,28752
36365,53632
36365,3183
36365,78735
36365,103738
36365,50801
36365,77035
36365,63607
36365,98304
116958,29984
31013,29984
86621,29984
100502,29984
29984,27408
29984,104940
29984,44949
18046,75506
75506,86630
75506,39779
75506,117859
45780,95071
45780,95452
45780,28302
45780,106812
45780,120840
45780,112557
45780,108929
45780,37687
45780,13490
45780,97138
45780,77971
45780,35134
45780,100551
45780,110756
88426,68826
68826,43987
68826,37258
68826,51405
68826,101341
68826,77670
68826,43821
68826,114540
68826,3747
68826,46324
68826,49193
68826,86464
68826,103947
68826,115500
68826,75482
68826,70675
7175,3782
84961,3782
57414,58738
7265,58738
64642,58738
58738,65934
58717,121786
51470,121786
73100,121786
121786,11155
121786,94029
121786,84576
121786,108280
121786,89774
121786,72477
121786,97252
121786,56674
121786,79837
121786,95057
121786,99286
121786,72402
121786,984
121786,86782
121786,102939
121786,78735
121786,126320
121786,77035
121786,60937
121786,98304
38256,90144
72952,90144
66305,90144
4508,90144
63334,90144
60690,90144
3551,90144
83065,90144
51361,90144
502,90144
107093,90144
60205,90144
45289,90144
69065,90144
86942,90144
88133,90144
66678,90144
90144,69837
90144,15410
90144,42988
90144,109440
90144,54931
90144,89540
90144,64544
90144,105253
90144,54393
87210,52382
37580,52382
110840,52382
52382,120102
52382,84059
52382,79273
71789,34278
87375,34278
68803,34278
34278,35692
34278,56844
34278,43303
34278,117799
34278,55863
34278,88107
34278,105332
34278,90109
34278,125783
34278,82502
34278,9100
34278,114544
34278,18972
34278,83459
34278,127324
34278,97648
34278,41268
34278,46001
34278,19661
34278,53474
34278,50127
34278,37343
34278,104609
34278,19452
34278,24048
34278,54621
34278,117915
34278,121057
34278,127475
34278,111247
34278,29653
113053,15884
65573,15884
44739,15884
86627,15884
115093,15884
3649,15884
49934,15884
44182,15884
15884,39228
15884,114910
15884,91498
15884,83011
15884,41349
15884,106891
15884,20289
15884,111192
121854,105872
121854,101807
121854,34164
121854,119972
121854,82613
121854,94133
121854,122682
121854,53199
121854,90203
121854,37988
121854,11257
121854,85353
121854,30199
121854,91602
121854,123905
121854,51540
121854,14879
121854,40939
121854,43416
121854,126289
121854,56904
121854,29750
121854,62383
121854,78359
121854,126569
121854,12971
121854,109903
121854,113563
121854,84504
121854,52749
28509,21276
66783,21276
2103,21276
26129,21276
72588,21276
126249,21276
39196,21276
20121,21276
69775,21276
77849,21276
127172,21276
21276,38186
100491,113845
31993,113845
3992,113845
49650,113845
89897,113845
62932,113845
59254,113845
113845,115491
113845,107479
113845,116980
113845,45512
113845,67607
113845,38482
113845,114725
113845,4867
113845,8919
113845,55338
113845,95275
113845,15350
113845,61173
113845,71671
14524,110930
7339,110930
1341,110930
17667,110930
105966,110930
35486,110930
89852,110930
108233,110930
69278,110930
23981,110930
108546,110930
110930,57890
110930,68023
110930,44996
110930,70415
110930,27491
110930,55066
110930,76907
110930,39928
110930,108034
110930,78880
110930,44980
110930,47166
110930,43222
110930,84274
91812,16859
116053,16859
16859,47048
16859,16545
16859,17202
16859,89661
16859,105864
16859,126121
70129,7940
109355,7940
36624,7940
88377,7940
121541,7940
13674,7940
90278,7940
77380,7940
21506,7940
41603,7940
92629,7940
92271,7940
9449,70789
9449,47904
9449,104940
9449,108353
114906,20383
91505,22357
22357,92045
22357,124433
22357,68166
22357,68310
14949,59560
57813,59560
44195,59560
109,7054
109,52142
109,44720
109,93728
109,1378
68185,102706
107385,102706
66714,102706
17772,102706
69598,102706
41496,102706
80828,102706
47324,102706
108619,102706
112914,102706
20536,102706
76515,102706
126466,102706
47442,102706
61636,102706
51700,102706
120047,102706
93361,102706
46638,102706
38161,102706
96388,102706
16214,102706
102706,9276
102706,65012
102706,25603
102706,59430
102706,88497
102706,61781
127499,5121
16260,5121
82276,5121
116183,5121
188,5121
54953,5121
31359,5121
50683,5121
1607,5121
5121,4585
5121,76931
5121,70488
5121,26667
5121,115924
5121,36900
92802,60223
92802,82470
92802,100411
92802,99219
92802,101114
92802,87854
92802,34928
92802,37468
92802,10092
92802,103288
92802,39551
92802,16765
92802,58148
92802,32986
92802,13198
92802,34638
92802,25488
92802,41963
92802,99309
92802,33362
92802,100567
92802,5878
92802,73793
92802,42857
92802,55920
92802,35095
92802,95175
92802,93336
92802,125853
29794,121648
113096,121648
118568,121648
71547,121648
113549,121648
126549,121648
42967,121648
78791,121648
15579,121648
121648,26500
121648,63389
121648,3444
121648,119096
121648,120397
121648,17746
121648,16987
121648,47583
121648,92060
121648,83664
121648,39067
121648,97912
122333,47274
123986,47274
15623,47274
123375,47274
10720,47274
72889,47274
71646,47274
47274,59565
47274,72463
47274,45422
36014,51832
78972,60663
78972,119682
78972,32521
78972,63121
78972,21742
78972,96756
78972,26873
78972,49273
78972,71266
78972,85666
78972,21790
78972,28189
78972,93404
78972,121148
78972,117470
78972,89616
78972,108580
78972,63497
78972,119692
78972,111122
28140,87308
28140,75259
28140,121129
28140,30219
28140,83356
28140,111586
28140,92930
28140,13108
28140,103630
28140,36958
28140,18
28140,33996
28140,41289
28140,109818
28140,92364
28140,103001
111848,1337
3021,1337
1337,10073
1337,6735
1337,21803
1337,110351
1337,58618
1337,72032
1337,71825
1337,39823
1337,77768
1337,42441
1337,91647
1337,111705
1337,87221
1337,105690
96802,45330
106270,45330
69622,45330
34424,45330
25284,45330
66379,45330
48122,45330
103526,45330
48175,45330
79981,45330
34630,45330
22803,45330
88313,45330
96024,45330
45506,45330
5407,45330
39213,45330
100673,45330
45330,15681
45330,113476
45330,110972
45330,55934
45330,69903
45330,21993
45330,15783
45330,126659
45330,113266
45330,104741
45330,18646
45330,5985
45330,102399
45330,111280
45330,46501
45330,30814
45330,26107
45330,82406
45330,98899
45330,49250
45330,90719
45330,125233
18689,93686
18234,93686
93686,83991
93686,44831
93896,125509
16072,125509
116340,125509
28329,125509
73302,125509
101072,125509
125509,105345
125509,86498
125509,36178
125509,96747
125509,117626
125509,63869
125509,80772
125509,16612
125509,34974
125509,95769
125509,102072
125509,12891
125509,21129
125509,124961
125509,125263
125509,110670
125509,71530
125509,36615
125509,47640
125509,120629
125509,117588
125509,29096
125509,46543
125509,5386
19134,40463
104156,40463
104245,40463
98720,40463
6261,40463
16692,40463
40463,7844
40463,107718
40463,94375
40463,6482
40463,53828
40463,86937
40463,51754
40463,105838
76747,54732
19288,54732
71577,54732
61771,54732
123269,54732
54732,66289
54732,108297
54732,55054
54732,72286
54732,6137
54732,119090
54732,21240
54732,121674
54732,80565
36179,66396
52361,66396
106090,66396
43756,66396
44025,66396
73808,66396
32437,66396
125102,66396
50712,66396
34668,66396
66396,7327
66396,40931
66396,4872
66396,60740
66396,58249
66396,38597
66396,23386
66396,54931
66396,48386
66396,45158
66396,47579
66396,4392
44798,97136
89227,97136
118332,97136
45602,97136
124649,97136
125415,97136
68082,97136
92440,97136
98377,97136
69673,97136
120050,97136
33819,97136
65963,97136
54294,97136
62541,97136
2288,97136
56474,97136
3595,97136
91383,97136
64726,97136
58251,97136
47213,97136
20234,97136
22594,97136
61464,97136
79191,97136
115072,97136
74861,97136
18132,97136
60633,97136
113763,97136
34442,97136
97136,23576
97136,24648
97136,90564
97136,55884
97136,57270
97136,78433
97136,1498
97136,74335
97136,125183
97136,53713
97136,84875
97136,27858
97136,30955
97136,52824
97136,836
97136,39237
97136,109130
35690,71890
35690,56235
35690,96936
35690,111705
35690,97967
35690,11491
35690,75622
35690,30406
35690,60004
35690,19279
35690,23213
35690,99736
35690,120627
35690,1900
35690,6560
35690,76184
35690,91065
35690,17334
35690,47412
35690,12071
35690,125731
76585,115655
76585,74189
76585,93808
76585,101157
90844,95526
45288,95526
6218,95526
40360,95526
95526,65806
95526,2540
95526,86851
95526,18977
95526,108753
95526,87028
95526,45409
55381,33243
55381,103399
55381,60169
55381,124260
55381,94757
55381,63237
55381,17277
55381,33787
55381,122585
55381,65151
55381,9652
55381,45598
55381,125938
55381,108485
55381,30747
55381,51340
55381,85848
55381,56596
55381,73084
55381,20741
55381,45923
55381,31958
55381,13884
55381,79019
55381,1357
55381,1365
55381,68971
55381,34479
55381,111410
4843,93096
93096,29202
93096,10205
93096,11926
93096,59197
93096,76937
93096,56671
93096,35762
38984,19763
20385,19763
19763,106620
19763,101254
19763,9085
19763,15255
19763,50629
19763,36409
19763,104431
19763,125283
19763,15173
35392,49616
20774,49616
21067,49616
68682,49616
49616,125567
49616,35784
49616,62722
49616,50535
49616,93280
49616,101010
49616,72249
49616,111026
49616,51270
49616,46348
49616,53302
49616,113664
49616,18183
49616,31234
49616,23743
49616,75219
49616,26401
49616,41534
49616,5444
49616,77180
49616,30610
49616,56902
49616,122928
89469,76116
72181,76116
95356,76116
38268,76116
127557,76116
108641,76116
47569,76116
20739,76116
122094,76116
78059,76116
72038,76116
56678,76116
112022,76116
5977,76116
48996,76116
50849,76116
120199,76116
15437,76116
47422,76116
126763,76116
6209,76116
54916,76116
39644,76116
82183,76116
24384,76116
99435,76116
119424,76116
82386,76116
26546,76116
22671,76116
111028,76116
121649,76116
64898,82789
64898,6372
64898,7591
64898,112809
64898,29895
64898,111705
64898,101026
64898,48499
64898,85188
64898,41527
64898,52609
64898,93186
64898,102762
64898,81980
64898,10800
64898,32247
64898,886
10172,35149
20393,35149
72080,35149
35149,72757
35149,16627
35149,73482
35149,64143
35149,20213
35149,21677
35149,112320
30740,79562
30740,126
30740,70378
30740,2733
30740,69441
30740,72583
30740,64169
30740,102664
30740,116720
30740,95068
30740,60391
30740,22406
30740,61222
94007,82075
94007,28819
94007,57928
94007,127619
94007,113806
94007,36636
94007,2963
94007,5785
94007,124089
94007,118532
94007,14288
94007,3895
94007,19141
94007,108945
94007,63703
94007,71611
94007,57361
94007,48503
55270,25431
73967,25431
25431,115612
25431,19263
25431,120912
25431,11029
25431,82869
25431,88617
25431,11742
25431,50934
25431,81306
25431,87622
25431,19534
25431,104808
25431,31527
25431,60627
25431,101085
73697,19687
123250,19687
2327,19687
48937,19687
19687,57688
19687,92640
19687,2843
19687,77903
19687,4877
19687,119366
19687,91434
19687,31128
5492,37005
57428,37005
59926,37005
20495,37005
110159,37005
56237,37005
88446,37005
37005,9450
37005,111705
37005,8035
85939,104162
55280,104162
30453,104162
78427,54620
1979,54620
54620,1093
54620,120212
54620,3817
54620,121297
54620,57420
54620,65147
54620,51147
54620,101779
54620,124117
54620,85071
54620,50027
54620,38463
54620,97212
54620,114094
54620,92343
54620,98599
54620,101696
54620,37784
54620,14514
54620,58089
54620,71774
54620,85028
54620,93456
54620,19034
54620,113146
54620,35036
54620,117777
54620,127680
54620,73882
54620,49424
54620,71565
54620,103847
54620,86340
54620,7766
54620,56906
54620,92364
54620,97285
54620,92535
54620,126073
54620,16667
54620,53386
54620,34292
90526,121190
67769,52220
58198,52220
40993,52220
22957,52220
94507,52220
63799,52220
9568,52220
99096,52220
50706,52220
43553,52220
38701,52220
105340,52220
48978,52220
115323,52220
78332,52220
51359,52220
102035,52220
62691,52220
125762,52220
120486,52220
52220,105786
52220,13982
52220,44244
52220,26679
52220,6742
52220,73930
52220,92954
52220,57943
52220,121151
52220,47028
52220,39634
52220,90326
52220,117966
52220,68869
52220,97340
52220,87915
52220,106930
52220,127214
52220,74274
52220,117290
122629,80891
112329,80891
113219,80891
42183,80891
80891,27860
80891,125518
80891,2835
127417,53606
127417,101984
127417,37698
127417,14166
127417,54263
127417,49364
127417,121026
127417,76564
127417,104038
127417,46968
127417,17674
127417,100436
127417,80674
127417,44474
127417,115415
127417,39770
127417,123874
127417,56066
127417,37412
127417,53196
127417,92704
127417,78111
127417,110803
127417,108618
127417,66018
127417,9090
127417,63100
111073,60583
57944,60583
108959,60583
112820,60583
55229,60583
28395,60583
52814,60583
67046,60583
26759,60583
100179,60583
77627,60583
76762,60583
16105,60583
119923,60583
112355,60583
60583,32788
60583,63566
60583,62020
60583,52322
60583,67517
60583,11671
60583,49467
60583,70562
60583,97440
60583,71519
60583,70822
92812,67199
92812,62847
92812,127619
92812,113806
92812,124003
92812,27525
92812,52996
92812,52881
92812,101140
92812,3895
92812,108945
92812,50384
92812,106904
92812,94966
61302,66933
61302,97626
61302,43303
61302,23986
61302,73722
61302,25702
61302,40290
61302,109926
61302,46001
61302,81577
61302,116818
61302,100756
61302,127633
61302,103847
61302,91182
61302,54630
61302,7500
61302,115987
61302,85851
61302,4130
105688,65550
40947,65550
71592,65550
119840,65550
34694,65550
11077,65550
99215,65550
11521,65550
123007,65550
65550,10073
65550,111705
65550,127634
65550,93527
110425,84904
87092,84904
11897,84904
84638,84904
64162,84904
7094,84904
98479,84904
113035,84904
109720,84904
86645,84904
8926,84904
872,84904
70924,84904
72184,84904
83042,84904
16113,84904
18095,84904
57414,84904
123456,84904
23223,84904
47174,84904
35515,84904
25271,84904
84904,43299
84904,32479
84904,73975
84904,26661
84904,54593
118896,23481
86597,23481
35375,23481
109653,23481
68383,23481
94590,23481
1706,23481
84188,23481
47835,23481
93837,23481
42090,23481
20893,23481
114976,23481
126170,23481
34611,23481
23481,89410
23481,107300
23481,40931
23481,101552
23481,23815
23481,127152
23481,94777
23481,16123
23481,69417
23481,124365
23481,21066
23481,78369
23481,96863
23481,5893
123014,55365
88730,55365
67597,55365
5305,55365
43788,55365
70688,55365
111076,55365
85416,55365
83320,55365
114904,55365
63390,55365
86259,55365
10586,55365
6937,55365
24303,55365
93991,55365
39109,55365
64705,55365
116934,55365
101991,55365
95158,55365
97429,55365
55365,59538
55365,114803
55365,72132
55365,37343
55365,51287
55365,5284
55365,98969
55365,87709
55365,102966
55365,74298
55365,120052
55365,10018
55365,85582
55365,109105
55365,24659
32002,95824
95824,75645
95824,56968
95824,57437
95824,95812
95824,110873
95824,73175
95824,106090
95824,24956
95824,1507
95824,66613
95824,118035
95824,2543
95824,86808
95824,4640
95824,43851
95824,60486
95824,31769
95824,9337
95824,96261
95824,59686
95824,31133
95824,123487
95824,114833
121531,118751
63609,118751
101970,118751
112581,118751
118751,110428
118751,102796
85096,104986
104986,73125
104986,49834
104986,98274
104986,114419
104986,124343
104986,16773
104986,92036
104986,71148
85064,45528
85064,74353
85064,28943
85064,64226
85064,125868
85064,81202
85064,98070
85064,54117
85064,60168
85064,25702
85064,18424
85064,55825
85064,67620
85064,120057
85064,35784
85064,74770
85064,94255
85064,82150
85064,20042
85064,109772
85064,19452
85064,64420
85064,92825
85064,101857
85064,3758
85064,18448
77440,15559
2396,15559
68442,15559
43636,15559
22272,15559
15559,77107
15559,29769
15559,31525
15559,105198
15559,11290
15559,83541
15559,67068
15559,47414
15559,6252
15559,108850
15559,69019
15559,24806
15559,74119
15559,91947
15559,26589
15559,110803
15559,61773
15559,61016
15559,23015
15559,104533
15559,56432
15559,46398
15559,48025
15559,60464
15559,111252
15559,92709
15559,56095
15559,22890
15559,118063
15559,91379
15559,35876
15559,19502
15559,52442
15559,58963
15559,9090
68933,62651
98425,62651
49569,62651
89949,62651
102518,62651
112420,62651
104080,62651
87849,62651
57334,62651
98683,62651
87475,62651
60779,62651
62651,67137
62651,25897
62651,90029
62651,112332
62651,80808
62651,38681
62651,63371
62651,82818
62651,55555
62651,65227
120590,5081
77873,5081
101798,5081
121595,5081
14154,5081
91881,5081
78103,5081
67403,5081
